Boro,Size,Latitude,Longitude
M,0.037,40.727311,-73.979074
B,NA,40.694666,-73.943253
B,NA,40.666544,-73.887795
B,0.546,40.660713,-73.895655
B,0.055,40.679691,-73.950448
M,0.129,40.809031,-73.942488
B,0.21,40.575064,-73.985961
B,0.081,40.674543,-73.877838
M,0.023,40.728258,-73.978901
B,NA,40.690036,-73.943557
B,0.039,40.695179,-73.943354
B,0.165,40.694461,-73.950534
B,0.046,40.695196,-73.944122
B,0.152,40.688836,-73.92789
M,0.045,40.796895,-73.945424
X,0.047,40.820531,-73.914448
B,0.149,40.677263,-73.953835
X,0.046,40.870293,-73.898309
X,0.228,40.807068,-73.922098
B,0.057,40.68082,-73.979402
X,0.27,40.809962,-73.85071
B,0.059,40.684676,-73.924963
M,0.109,40.803674,-73.963366
M,NA,40.81071,-73.940702
M,0.171,40.812454,-73.942882
M,0.046,40.851073,-73.938894
M,0.09,40.786617,-73.970356
B,0.118,40.677792,-73.951866
R,0.011,40.644392,-74.084861
M,0.09,40.811116,-73.9513
B,0.057,40.692534,-73.916722
X,0.012,40.83116,-73.929149
